"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
29.239471062,48.73245177,29.239471062,0,0,113.7,189.5,113.7,0,0,270.6,451,270.6,0,0,215.7,359.5,215.7,0,0,3.758769942,6.26461657,3.758769942,0,0,60.51003996,100.8500666,60.51003996,0,0,0.549409734,0.91568289,0.549409734,0,0,10.355124678,17.25854113,10.355124678,0,0
58.413248856,38.942165904,29.206624428,0,4.867770738,227.4,151.6,113.7,0,18.95,541.2,360.8,270.6,0,45.1,431.4,287.6,215.7,0,35.95,7.446845232,4.964563488,3.723422616,0,0.620570436,121.86274872,81.24183248,60.93137436,0,10.15522906,1.104128136,0.736085424,0.552064068,0,0.092010678,20.731316508,13.820877672,10.365658254,0,1.727609709
68.536525288,39.163728736,29.372796552,0,4.895466092,265.3,151.6,113.7,0,18.95,631.4,360.8,270.6,0,45.1,503.3,287.6,215.7,0,35.95,8.94371765,5.1106958,3.83302185,0,0.638836975,138.136384344,78.935076768,59.201307576,0,9.866884596,1.266748252,0.723856144,0.542892108,0,0.090482018,24.28770645,13.8786894,10.40901705,0,1.734836175
77.853554896,48.65847181,29.195083086,9.731694362,4.865847181,303.2,189.5,113.7,37.9,18.95,721.6,451,270.6,90.2,45.1,575.2,359.5,215.7,71.9,35.95,10.422303408,6.51393963,3.908363778,1.302787926,0.651393963,162.19660128,101.3728758,60.82372548,20.27457516,10.13728758,1.45129448,0.90705905,0.54423543,0.18141181,0.090705905,27.628588032,17.26786752,10.360720512,3.453573504,1.726786752
97.66367806,48.83183903,29.299103418,9.766367806,4.883183903,379,189.5,113.7,37.9,18.95,902,451,270.6,90.2,45.1,719,359.5,215.7,71.9,35.95,12.9272248,6.4636124,3.87816744,1.29272248,0.64636124,199.08111204,99.54055602,59.724333612,19.908111204,9.954055602,1.82795684,0.91397842,0.548387052,0.182795684,0.091397842,34.18430214,17.09215107,10.255290642,3.418430214,1.709215107
87.992358534,39.107714904,29.330786178,0,4.888464363,341.1,151.6,113.7,0,18.95,811.8,360.8,270.6,0,45.1,647.1,287.6,215.7,0,35.95,11.431271268,5.080565008,3.810423756,0,0.635070626,183.83103756,81.70268336,61.27701252,0,10.21283542,1.628095968,0.723598208,0.542698656,0,0.090449776,31.123541826,13.832685256,10.374513942,0,1.729085657
97.63563804,39.054255216,29.290691412,0,4.881781902,379,151.6,113.7,0,18.95,902,360.8,270.6,0,45.1,719,287.6,215.7,0,35.95,12.63316236,5.053264944,3.789948708,0,0.631658118,202.9077496,81.16309984,60.87232488,0,10.14538748,1.82182534,0.728730136,0.546547602,0,0.091091267,34.83743736,13.934974944,10.451231208,0,1.741871868
80.91916013,64.735328104,80.91916013,0,0,60.6,48.48,60.6,0,0,611.5,489.2,611.5,0,0,327.9,262.32,327.9,0,0,8.37480812,6.699846496,8.37480812,0,0,154.471348,123.5770784,154.471348,0,0,0.66328832,0.530630656,0.66328832,0,0,38.10795812,30.486366496,38.10795812,0,0
32.288441472,64.576882944,48.432662208,0,0,24.24,48.48,36.36,0,0,244.6,489.2,366.9,0,0,131.16,262.32,196.74,0,0,3.362443812,6.724887624,5.043665718,0,0,61.50396396,123.00792792,92.25594594,0,0,0.261659048,0.523318096,0.392488572,0,0,15.249316456,30.498632912,22.873974684,0,0
48.38713341,64.51617788,48.38713341,0,8.064522235,36.36,48.48,36.36,0,6.06,366.9,489.2,366.9,0,61.15,196.74,262.32,196.74,0,32.79,4.967229102,6.622972136,4.967229102,0,0.827871517,91.20454668,121.60606224,91.20454668,0,15.20075778,0.363472404,0.484629872,0.363472404,0,0.060578734,22.873988136,30.498650848,22.873988136,0,3.812331356
64.83664484,81.04580605,48.62748363,0,0,48.48,60.6,36.36,0,0,489.2,611.5,366.9,0,0,262.32,327.9,196.74,0,0,6.632509056,8.29063632,4.974381792,0,0,124.21927608,155.2740951,93.16445706,0,0,0.563067424,0.70383428,0.422300568,0,0,30.12926376,37.6615797,22.59694782,0,0
129.254012496,64.627006248,80.78375781,0,8.078375781,96.96,48.48,60.6,0,6.06,978.4,489.2,611.5,0,61.15,524.64,262.32,327.9,0,32.79,13.266125744,6.633062872,8.29132859,0,0.829132859,250.72544672,125.36272336,156.7034042,0,15.67034042,1.024554336,0.512277168,0.64034646,0,0.064034646,60.917997456,30.458998728,38.07374841,0,3.807374841
64.632203896,64.632203896,48.474152922,0,8.079025487,48.48,48.48,36.36,0,6.06,489.2,489.2,366.9,0,61.15,262.32,262.32,196.74,0,32.79,6.755316944,6.755316944,5.066487708,0,0.844414618,124.05939176,124.05939176,93.04454382,0,15.50742397,0.557995752,0.557995752,0.418496814,0,0.069749469,30.554857472,30.554857472,22.916143104,0,3.819357184
64.673645936,80.84205742,48.505234452,16.168411484,8.084205742,48.48,60.6,36.36,12.12,6.06,489.2,611.5,366.9,122.3,61.15,262.32,327.9,196.74,65.58,32.79,6.730005752,8.41250719,5.047504314,1.682501438,0.841250719,119.76565064,149.7070633,89.82423798,29.94141266,14.97070633,0.525994296,0.65749287,0.394495722,0.131498574,0.065749287,30.604252592,38.25531574,22.953189444,7.651063148,3.825531574
80.63859605,64.51087684,48.38315763,0,8.063859605,60.6,48.48,36.36,0,6.06,611.5,489.2,366.9,0,61.15,327.9,262.32,196.74,0,32.79,8.38344016,6.706752128,5.030064096,0,0.838344016,156.0591948,124.84735584,93.63551688,0,15.60591948,0.6807686,0.54461488,0.40846116,0,0.06807686,37.95500775,30.3640062,22.77300465,0,3.795500775
72.654460281,113.018049326,48.436306854,0,8.072717809,54.54,84.84,36.36,0,6.06,550.35,856.1,366.9,0,61.15,295.11,459.06,196.74,0,32.79,7.444139328,11.579772288,4.962759552,0,0.827126592,137.96414433,214.61089118,91.97609622,0,15.32934937,0.583025211,0.906928106,0.388683474,0,0.064780579,34.142059332,53.109870072,22.761372888,0,3.793562148
48.387573456,161.29191152,48.387573456,0,0,36.36,121.2,36.36,0,0,366.9,1223,366.9,0,0,196.74,655.8,196.74,0,0,5.002394484,16.67464828,5.002394484,0,0,92.63840226,308.7946742,92.63840226,0,0,0.396137652,1.32045884,0.396137652,0,0,22.978540542,76.59513514,22.978540542,0,0
48.438414324,80.73069054,48.438414324,0,0,36.36,60.6,36.36,0,0,366.9,611.5,366.9,0,0,196.74,327.9,196.74,0,0,5.004197418,8.34032903,5.004197418,0,0,92.74911786,154.5818631,92.74911786,0,0,0.392567496,0.65427916,0.392567496,0,0,22.599848634,37.66641439,22.599848634,0,0
96.974261928,64.649507952,48.487130964,0,8.081188494,72.72,48.48,36.36,0,6.06,733.8,489.2,366.9,0,61.15,393.48,262.32,196.74,0,32.79,9.834999204,6.556666136,4.917499602,0,0.819583267,183.8595558,122.5730372,91.9297779,0,15.32162965,0.775533108,0.517022072,0.387766554,0,0.064627759,45.4951608,30.3301072,22.7475804,0,3.7912634
112.92894067,64.53082324,48.39811743,0,8.066352905,84.84,48.48,36.36,0,6.06,856.1,489.2,366.9,0,61.15,459.06,262.32,196.74,0,32.79,11.37803737,6.50173564,4.87630173,0,0.812716955,214.55979986,122.60559992,91.95419994,0,15.32569999,0.906628968,0.518073696,0.388555272,0,0.064759212,53.328089388,30.473193936,22.854895452,0,3.809149242
129.374397232,80.85899827,48.515398962,16.171799654,8.085899827,96.96,60.6,36.36,12.12,6.06,978.4,611.5,366.9,122.3,61.15,524.64,327.9,196.74,65.58,32.79,13.3826928,8.364183,5.0185098,1.6728366,0.8364183,248.53823744,155.3363984,93.20183904,31.06727968,15.53363984,1.072410704,0.67025669,0.402154014,0.134051338,0.067025669,60.2823124,37.67644525,22.60586715,7.53528905,3.767644525
161.6578688,80.8289344,48.49736064,16.16578688,8.08289344,121.2,60.6,36.36,12.12,6.06,1223,611.5,366.9,122.3,61.15,655.8,327.9,196.74,65.58,32.79,16.2941379,8.14706895,4.88824137,1.62941379,0.814706895,309.5040874,154.7520437,92.85122622,30.95040874,15.47520437,1.29194168,0.64597084,0.387582504,0.129194168,0.064597084,76.11185114,38.05592557,22.833555342,7.611185114,3.805592557
